FID;fid_;E;N;ADA_ID;VELOCITY;X;Y;SATELLITE;GEOMETRY;TRACK;FRAME;INIT_DATE;FINAL_DATE;PIXEL_SIZE;SOFTWARE;PAPERS;COHERENCE;Lon_ETRS89;Lat_ETRS89;MEAN_VLOS;Lon_WGS84;Lat_WGS84;PS_ID;DESC_UNIT;GeoUnif;Masas_subt;aguas_supf;emb_aux;red_trans;Moves;SubsEsp;QAFI_trace;QAFI_vecto;CODE_18;pendientes;Subsidence;Proceso
315;323;612916,411838999949396;4164932,539909999817610;30;-1,991000000000000;-1,720420000000000;37,624580000000002;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612916,411838999949396;4164932,539909999817610;-1,991000000000000;-1,720000000000000;37,624580000000002;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.62458;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;1; ;1;1;1;212;0,314010000000000;4;Sub_Agua
316;324;612919,974860999966040;4159291,869580000173301;30;-1,058300000000000;-1,721250000000000;37,573749999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612919,974860999966040;4159291,869580000173301;-1,058300000000000;-1,721000000000000;37,573749999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.721_37.57375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,575420000000000;4;Sub_Agua
317;325;612920,194137000013143;4164655,159709999803454;30;-1,942200000000000;-1,720420000000000;37,622079999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612920,194137000013143;4164655,159709999803454;-1,942200000000000;-1,720000000000000;37,622079999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.62208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;1; ;1;1;1;242;0,835640000000000;4;Sub_Agua
318;326;612939,102393000037409;4163268,260360000189394;30;-2,310200000000000;-1,720420000000000;37,609580000000001;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612939,102393000037409;4163268,260360000189394;-2,310200000000000;-1,720000000000000;37,609580000000001;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.60958;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;1,418410000000000;4;Sub_Agua
319;327;612944,138643000042066;4162898,790849999990314;30;-2,269600000000000;-1,720420000000000;37,606250000000003;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612944,138643000042066;4162898,790849999990314;-2,269600000000000;-1,720000000000000;37,606250000000003;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.60625;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;212;0,759060000000000;4;Sub_Agua
320;328;612961,785183000029065;4161603,984840000048280;30;-2,332400000000000;-1,720420000000000;37,594580000000001;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612961,785183000029065;4161603,984840000048280;-2,332400000000000;-1,720000000000000;37,594580000000001;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.59458;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;1,093710000000000;4;Sub_Agua
321;329;612964,294935000012629;4161419,805269999895245;30;-2,228600000000000;-1,720420000000000;37,592919999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612964,294935000012629;4161419,805269999895245;-2,228600000000000;-1,720000000000000;37,592919999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.59292;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,664780000000000;4;Sub_Agua
322;330;612966,555333000025712;4166691,034810000099242;30;-0,830000000000000;-1,719580000000000;37,640419999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612966,555333000025712;4166691,034810000099242;-0,830000000000000;-1,720000000000000;37,640419999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.64042;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ;1;1;1;121;0,971760000000000;4;Sub_Agua
323;331;612969,344386999960989;4161049,227229999843985;30;-1,539900000000000;-1,720420000000000;37,589579999999998;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612969,344386999960989;4161049,227229999843985;-1,539900000000000;-1,720000000000000;37,589579999999998;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.58958;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;0,961300000000000;4;Sub_Agua
324;332;612971,853851999971084;4160865,047799999825656;30;-1,481200000000000;-1,720420000000000;37,587919999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;612971,853851999971084;4160865,047799999825656;-1,481200000000000;-1,720000000000000;37,587919999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.72_37.58792;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;0,755580000000000;4;Sub_Agua
